Dep_Time,Arrival_Time,Duration,Total_Stops,date,month,Airline_Air India,Airline_IndiGo,Airline_Jet Airways,Airline_Multiple carriers,Airline_SpiceJet,Source_Banglore,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Delhi,Price
22,1,170,0,24,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3897
6,13,445,2,5,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7662
9,4,1140,2,6,9,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13882
18,24,325,1,5,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6218
17,22,285,1,3,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13302
9,11,145,0,24,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3873
19,10,930,1,3,12,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11087
8,5,1265,1,3,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22270
9,10,1530,1,3,12,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11087
11,19,470,1,27,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8625
10,23,795,1,6,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8907
20,23,155,0,18,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4174
12,14,135,0,24,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4667
21,9,730,1,5,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9663
17,20,155,0,24,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4804
17,19,1595,2,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14011
9,13,270,1,15,4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5830
